name,link,profile_photo,department,descipline
Alexandre Rio,https://www.researchgate.netprofile/Alexandre-Rio-3,https://i1.rgstatic.net/ii/profile.image/292102291378186-1446654021789_Q64/Alexandre-Rio-3.jpg,SCM,['SCM']
Marinko Šimić,https://www.researchgate.netprofile/Marinko-Simic,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,le havre,[]
pierre-arthur Bérard,https://www.researchgate.netprofile/Pierre-Arthur-Berard,https://i1.rgstatic.net/ii/profile.image/296081985425410-1447602854232_Q64/Pierre-Arthur-Berard.jpg,Supply chain management,"['Logistics', 'Operations Management', 'Lean Manufacturing']"
Gaspard Guers,https://www.researchgate.netprofile/Gaspard-Guers,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Calvados,"['Logistics', 'SCM', 'Operations Management']"
Pierre Huguet,https://www.researchgate.netprofile/Pierre-Huguet,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,master 2 Marketing,"['Marketing Management', 'Strategic Marketing', 'Customer Relationship Management']"
Hendrik Lohse,https://www.researchgate.netprofile/Hendrik-Lohse,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Logistique,"['Logistics', 'Port Management', 'Public Administration']"
Charles Fossard,https://www.researchgate.netprofile/Charles-Fossard,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,MASTER,"['Business', 'Management', 'Strategic Management']"
Verge Simon,https://www.researchgate.netprofile/Verge-Simon,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Alternance,[]
Slimane Akchour,https://www.researchgate.netprofile/Slimane-Akchour,https://i1.rgstatic.net/ii/profile.image/324477424996352-1454372854507_Q64/Slimane-Akchour.jpg,CAEN,"['Management', 'Leadership', 'Strategic Management']"
Couasnon Emeric,https://www.researchgate.netprofile/Couasnon-Emeric,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Student,[]
Mathieu Pereira,https://www.researchgate.netprofile/Mathieu-Pereira,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Paris,[]
Romain Zanna-Bellegarde,https://www.researchgate.netprofile/Romain-Zanna-Bellegarde,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,"['Management', 'Business', 'Strategic Management']"
Solène Niquel,https://www.researchgate.netprofile/Solene-Niquel,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Marketing,"['Strategic Management', 'Marketing Management', 'Business Management']"
Thomas Montessus,https://www.researchgate.netprofile/Thomas-Montessus,https://i1.rgstatic.net/ii/profile.image/329077425754112-1455469580049_Q64/Thomas-Montessus.jpg,Department of Finance,"['Financial Analysis', 'Financial Accounting', 'Finance']"
Ahlem Souabni,https://www.researchgate.netprofile/Ahlem-Souabni,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,"['Research Methodology', 'Academic Writing', 'Quantitative Analysis']"
Lixing Weng,https://www.researchgate.netprofile/Lixing-Weng,https://i1.rgstatic.net/ii/profile.image/329392636088324-1455544732847_Q64/Lixing-Weng.jpg,Le havre,"['Business Model Innovation', 'Innovation', 'Business Management']"
Anais Legris,https://www.researchgate.netprofile/Anais-Legris,https://i1.rgstatic.net/ii/profile.image/329433153064961-1455554392598_Q64/Anais-Legris.jpg,International Business,"['Marketing Management', 'Management', 'Marketing Communication']"
Hugo N'Diaye,https://www.researchgate.netprofile/Hugo-Ndiaye,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,76600,['Brand Management']
Eléna Catoir,https://www.researchgate.netprofile/Elena-Catoir,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,14,"['Sustainable Development', 'Hospitality & Tourism Management']"
Lestrohan Maxime,https://www.researchgate.netprofile/Lestrohan-Maxime,https://i1.rgstatic.net/ii/profile.image/329504342986753-1455571365958_Q64/Lestrohan-Maxime.jpg,Marketing,"['Branding', 'Marketing Management', 'Business Marketing']"
Laurent Forge,https://www.researchgate.netprofile/Laurent-Forge,https://i1.rgstatic.net/ii/profile.image/331505848078336-1456048561035_Q64/Laurent-Forge.jpg,Marketing,['Marketing Management']
Clemence Pinton,https://www.researchgate.netprofile/Clemence-Pinton,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,University Library,[]
Marie Burlot,https://www.researchgate.netprofile/Marie-Burlot,https://i1.rgstatic.net/ii/profile.image/368913889153027-1464967333488_Q64/Marie-Burlot.jpg,Master Management,"['Marketing Management', 'Strategic Management', 'Management']"
Awatar Christopher,https://www.researchgate.netprofile/Awatar-Christopher,https://i1.rgstatic.net/ii/profile.image/339175686590465-1457877193677_Q64/Awatar-Christopher.jpg,calvados,"['Management', 'Strategic Management', 'Business']"
